Date_Time,Gas,eDag,eNacht,SMA_3000,SMA_7000,SMA,Temperatuur,Water
2015-10-07 12:00,000.288,,,,,,12.8,
2015-10-28 07:52,104.292,,,,,,9.1,
2015-11-02 07:12,177.891,162821,129231,,,,1.9,437.588
2015-11-02 17:22,181.980,,,,,,1.9,
2015-11-09 21:58,211.310,162934,129313,,,,13.3,441.763
2015-11-11 16:24,216.385,,,,,,11.4,
2015-11-16 07:14,240.161,,,,,,12.0,
2015-11-18 09:00,246.894,,,,,,12.0,
2015-11-18 13:40,247.043,163045.5,129404.8,,,,12,445.409
2015-11-20 10:21,259.815,163072.6,129414.9,,,,4.8,445.910
2015-11-21 08:03,264.700,163090.2,129421.9,,,,2.0,446.459
2015-11-22 09:04,273.926,163090.2,129455.3,,,,-0.5,447.104
2015-11-23 05:55,278.970,163090.2,129480.3,,,,-2.8,447.785
2015-11-24 05:33,290.417,163109.7,129486.6,,,,0.7,448.480
2015-11-25 05:33,301.149,163126.1,129493.0,,,,4.6,448.859
2015-11-26 06:33,310.722,163142.9,129498.9,,,,2.5,449.171
2015-11-27 06:45,323.979,163161.3,129505.5,,,,1.5,449.629
2015-11-28 07:46,332.827,163176.6,129512.3,,,,5.0,449.964
2015-11-29 08:05,339.286,163176.6,129534.0,,,,8.5,450.266
2015-11-30 06:59,343.523,163176.6,129560.5,,,,7.5,450.929
2015-12-01 07:20,345.723,163198.7,129568.0,,,,9.0,451.623
2015-12-02 07:14,348.138,163210.9,129575.2,,,,10.5,451.820
2015-12-03 07:05,352.731,163225.5,129582.5,,,,9.0,452.044
2015-12-04 06:39,357.368,163246.6,129587.4,4.443,7.412,11.855,9.0,452.302
2015-12-05 08:37,364.328,163248.0,129594.2,1.749,3.721,5.47,5.5,452.545
2015-12-06 08:14,371.052,163248.0,129619.9,1.371,2.790,4.161,8.5,453.197
2015-12-07 05:33,373.196,163248.0,129638.0,3.451,5.186,8.637,10.5,453.735
2015-12-08 06:43,377.511,163255.8,129643.9,2.403,6.074,8.477,8.0,454.100
2015-12-09 05:34,380.232,163272.1,129649.2,4.248,7.453,11.701,8.0,454.688
2015-12-10 06:36,387.888,163285.8,129649.9,4.175,8.028,12.203,3.5,455.116
2015-12-11 06:36,397.767,163298.3,129649.9,0.499,1.028,1.527,6.0,455.521
2015-12-12 08:42,408.575,163320.0,129649.9,1.569,3.322,4.891,6.0,456.049
2015-12-13 09:02,413.123,163334.4,129649.9,0.551,1.165,1.716,7.0,456.399
2015-12-14 05:33,416.659,163352.0,129649.9,3.751,7.078,10.829,8.5,456.709
2015-12-15 06:31,421.642,163360.6,129649.9,1.873,4.265,6.138,6.5,456.968
2015-12-16 07:45,427.288,163377.5,129649.9,0.315,0.644,0.959,11.0,457.394
2015-12-17 05:35,429.791,163400.9,129649.9,2.667,5.693,8.36,13.0,457.768
2015-12-18 05:35,431.252,163415.9,129649.9,0.571,1.195,1.766,12.5,458.143
2015-12-19 08:42,434.284,163438.5,129649.9,1.508,3.153,4.661,10.5,458.440
2015-12-20 10:02,437.538,163458.3,129649.9,2.134,4.308,6.442,11.5,458.950
2015-12-21 08:46,439.208,163474.7,129649.9,1.212,2.540,3.752,9.0,459.194
2015-12-22 09:07,441.815,163507.0,129649.9,1.422,2.987,4.409,11.0,460.001
2015-12-23 07:04,443.182,163530.2,129649.9,2.039,4.546,6.585,11.0,460.854
2015-12-24 08:31,444.915,163549.6,129649.9,1.786,4.062,5.848,9.0,461.171
2015-12-25 08:44,448.303,163571.0,129649.9,0.335,0.708,1.043,8.5,461.779
2015-12-26 09:03,454.508,163589.4,129649.9,3.910,7.902,11.812,10.5,462.108
2015-12-27 08:14,455.997,163595.6,129649.9,2.284,5.101,7.385,9.5,462.460
